%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
2.0, -6.556044578552246, 74.02010345458984, 9.091696739196777, -0.44878798723220825, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205099576085E9, 2023-09-05 10:28:29.957
2.0, -18.961292266845703, 256.6842956542969, 2.367356777191162, 2.367356777191162, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205099576085E9, 2023-09-05 10:28:29.957
3.0, -4.285925388336182, 414.706298828125, 9.237552642822266, 0.5235859751701355, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205099724376E9, 2023-09-05 10:28:29.972
3.0, 50.11091995239258, 576.494384765625, 9.585363388061523, -0.06731820106506348, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205099724376E9, 2023-09-05 10:28:29.972
4.0, 59.105377197265625, 650.712646484375, 7.390042304992676, 0.9162755012512207, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205099727015E9, 2023-09-05 10:28:29.972
4.0, 25.96612548828125, 651.086669921875, 4.903008937835693, 0.7928587794303894, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205099727015E9, 2023-09-05 10:28:29.972
5.0, 60.201168060302734, 685.7330932617188, 9.641462326049805, -6.757999420166016, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205099870396E9, 2023-09-05 10:28:29.987
5.0, 80.7780990600586, 735.11474609375, 13.949827194213867, 4.600077152252197, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205099870396E9, 2023-09-05 10:28:29.987
6.0, 70.0558090209961, 718.4273071289062, 11.354336738586426, 4.996506214141846, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100202706E9, 2023-09-05 10:28:30.020
6.0, 85.18370056152344, 733.342041015625, 7.150688648223877, 5.303178310394287, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100202706E9, 2023-09-05 10:28:30.020
7.0, 124.43395233154297, 781.4969482421875, 10.172528266906738, 2.7376067638397217, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510020347E9, 2023-09-05 10:28:30.020
7.0, 88.65432739257812, 767.6294555664062, 9.304871559143066, 0.13089649379253387, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510020347E9, 2023-09-05 10:28:30.020
8.0, 85.07898712158203, 742.0073852539062, 9.402108192443848, 2.528172254562378, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100204103E9, 2023-09-05 10:28:30.020
8.0, 97.7796859741211, 746.31201171875, 6.926294803619385, 3.6613621711730957, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100204103E9, 2023-09-05 10:28:30.020
9.0, 70.32134246826172, 744.0156860351562, 5.950181007385254, -3.3584301471710205, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510021089E9, 2023-09-05 10:28:30.021
9.0, 80.83045959472656, 743.6342163085938, 5.2059407234191895, 4.727233409881592, 0.19200000166893005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510021089E9, 2023-09-05 10:28:30.021
10.0, 94.57459259033203, 737.1080932617188, 7.958507061004639, 1.630596399307251, 0.19200000166893005, 0.0, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510031478E9, 2023-09-05 10:28:30.031
10.0, 65.80728149414062, 741.7493286132812, 6.073597431182861, 3.747379779815674, 0.19200000166893005, 0.0, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510031478E9, 2023-09-05 10:28:30.031
11.0, 99.57857513427734, 736.3152465820312, 8.194120407104492, 0.991073489189148, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510046398E9, 2023-09-05 10:28:30.046
11.0, 128.21124267578125, 796.5650024414062, 11.043924331665039, 5.198461055755615, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510046398E9, 2023-09-05 10:28:30.046
12.0, 102.08805084228516, 764.07275390625, 6.2418928146362305, 3.1452558040618896, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510062078E9, 2023-09-05 10:28:30.062
12.0, 64.11310577392578, 749.5469970703125, 4.140069484710693, -0.9611542820930481, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510062078E9, 2023-09-05 10:28:30.062
13.0, 94.93736267089844, 759.9027709960938, 0.022439399734139442, -1.3201847076416016, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510062748E9, 2023-09-05 10:28:30.062
13.0, 113.07213592529297, 775.692626953125, 4.637475967407227, 1.4922200441360474, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510062748E9, 2023-09-05 10:28:30.062
14.0, 104.2459716796875, 771.9639892578125, 7.158168315887451, 0.23561370372772217, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100764887E9, 2023-09-05 10:28:30.076
14.0, 94.873779296875, 772.158447265625, 4.618776321411133, -0.28049248456954956, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100764887E9, 2023-09-05 10:28:30.076
15.0, 120.11062622070312, 818.4472045898438, 8.545671463012695, 2.5169527530670166, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100924091E9, 2023-09-05 10:28:30.092
15.0, 119.07093811035156, 811.0272216796875, 10.284725189208984, -0.6844016909599304, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100924091E9, 2023-09-05 10:28:30.092
16.0, 114.35865783691406, 816.9998168945312, 8.272658348083496, -2.0831241607666016, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100927143E9, 2023-09-05 10:28:30.092
16.0, 110.98526763916016, 842.8687133789062, 2.9470412731170654, -2.58427095413208, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205100927143E9, 2023-09-05 10:28:30.092
17.0, 118.3005142211914, 853.4227294921875, 7.9809465408325195, 2.58427095413208, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510106492E9, 2023-09-05 10:28:30.106
17.0, 149.8316192626953, 863.898193359375, 5.965140342712402, 1.4099422693252563, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510106492E9, 2023-09-05 10:28:30.106
18.0, 139.01956176757812, 858.5089721679688, 2.939561367034912, 4.338284015655518, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510121848E9, 2023-09-05 10:28:30.121
18.0, 169.7017059326172, 916.7392578125, -2.0831241607666016, 5.901562213897705, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510121848E9, 2023-09-05 10:28:30.121
19.0, 170.49830627441406, 921.070068359375, 10.239846229553223, 2.988180160522461, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101369848E9, 2023-09-05 10:28:30.136
19.0, 151.30886840820312, 900.1228637695312, 7.85004997253418, 3.0554983615875244, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101369848E9, 2023-09-05 10:28:30.136
20.0, 167.3268585205078, 916.6719360351562, 7.281585216522217, 1.795151948928833, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101692088E9, 2023-09-05 10:28:30.169
20.0, 133.1142578125, 901.29345703125, 10.576436996459961, -3.018099308013916, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101692088E9, 2023-09-05 10:28:30.169
21.0, 120.6267318725586, 888.0504760742188, 5.867903232574463, 2.8385841846466064, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101697557E9, 2023-09-05 10:28:30.169
21.0, 159.1888427734375, 889.9166870117188, 10.26976490020752, -1.6941746473312378, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101697557E9, 2023-09-05 10:28:30.169
22.0, 162.4949188232422, 870.495361328125, 5.714567184448242, 0.17951519787311554, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101704776E9, 2023-09-05 10:28:30.170
22.0, 89.03205871582031, 817.242919921875, 10.153828620910645, 2.3262178897857666, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101704776E9, 2023-09-05 10:28:30.170
23.0, 115.65640258789062, 811.9734497070312, 11.518892288208008, -0.96489417552948, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101714375E9, 2023-09-05 10:28:30.171
23.0, 106.53852844238281, 794.0742797851562, 5.482693195343018, 0.6657021641731262, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6939205101714375E9, 2023-09-05 10:28:30.171
24.0, 92.62984466552734, 759.4764404296875, 9.263731956481934, -1.3650634288787842, 0.19200000166893005, 0.12800000607967377, 0.9760000705718994, 0.0, 0.0, 0.0, 0.0, 0.0, 1.693920510182101E9, 2023-09-05 10:28:30.182
