%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, -60.86500182887539, -165.20260074269027, -17.816883388906717, -31.920046121813357, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554515915E9, 0.0, 2023-09-20 15:44:15.451
2.0, -304.74013803945854, -109.79972279909998, 27.233951477333903, 30.9401923334226, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554515915E9, 0.0, 2023-09-20 15:44:15.451
3.0, -451.73690579785034, 2.367356671951711, 2.617929968982935, -1.9858868764713407, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554660497E9, 0.0, 2023-09-20 15:44:15.466
3.0, -591.0500490972772, -17.77200458943844, -12.756798748858273, -31.73679102398455, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554660497E9, 0.0, 2023-09-20 15:44:15.466
4.0, -401.61663654167205, -166.08521713223308, 11.365555965341628, -1.529619081877172, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554664605E9, 0.0, 2023-09-20 15:44:15.466
4.0, -268.3733508703299, -50.552227701060474, 27.103054978884757, 32.746564012020826, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554664605E9, 0.0, 2023-09-20 15:44:15.466
5.0, -488.93021085718647, 67.14990370441228, 3.5603847578167915, -0.643262792378664, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554802942E9, 0.0, 2023-09-20 15:44:15.480
5.0, -551.904516261071, -176.07822981383651, -18.17217388469726, -29.79952284693718, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554802942E9, 0.0, 2023-09-20 15:44:15.480
6.0, -366.81686745397747, -221.55541327502578, 8.908441694453359, 6.376529424451292, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554959579E9, 0.0, 2023-09-20 15:44:15.495
6.0, -352.53605947317556, -46.97314344346523, 23.30331662390381, 29.182439354248345, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554959579E9, 0.0, 2023-09-20 15:44:15.495
7.0, -489.659491348546, -45.48092336114496, 4.342023848555982, 0.18699499778449535, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554965003E9, 0.0, 2023-09-20 15:44:15.496
7.0, -548.8340583974496, -116.03039612527937, -17.970219287090003, -35.52904957905412, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354554965003E9, 0.0, 2023-09-20 15:44:15.496
8.0, -325.16934154741466, -261.5312039013952, 8.702747196890414, 3.9268949534744024, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235455510033E9, 0.0, 2023-09-20 15:44:15.510
8.0, -243.66009196313098, -505.90561675606295, 25.573435897007585, 35.70108497701585, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235455510033E9, 0.0, 2023-09-20 15:44:15.510
9.0, -484.4759900099598, -531.2845778553747, 3.0442785639315844, -5.482693335041404, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555258152E9, 0.0, 2023-09-20 15:44:15.525
9.0, -551.1527963699773, -534.0595836224966, -18.680800278671086, -32.09208151977509, 0.17600000835955143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555258152E9, 0.0, 2023-09-20 15:44:15.525
10.0, -423.4576522829011, -741.2014224682935, 6.514905722811818, 2.449634470976889, 0.17600000835955143, 0.0, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555265293E9, 0.0, 2023-09-20 15:44:15.526
10.0, -288.81190412817523, -890.9788058437407, 26.399953787215054, 28.703732159920037, 0.17600000835955143, 0.0, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555265293E9, 0.0, 2023-09-20 15:44:15.526
11.0, -452.3764286902733, -801.3708029054105, -0.3702500956133008, -2.0270257759839296, 0.17600000835955143, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555400012E9, 0.0, 2023-09-20 15:44:15.540
11.0, -530.5908264135942, -734.1404913519509, -15.976852610707283, -29.530250050127506, 0.17600000835955143, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555400012E9, 0.0, 2023-09-20 15:44:15.540
12.0, -349.55348925851285, -736.4480096246116, 12.150934956036508, 1.892389377579093, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555557463E9, 0.0, 2023-09-20 15:44:15.555
12.0, -280.8646167223342, -501.7655475051142, 29.178699454292655, 30.95515193324536, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555557463E9, 0.0, 2023-09-20 15:44:15.555
13.0, -448.21018013963476, -473.0917345448397, 3.418268559500575, -5.463993835262954, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555564227E9, 0.0, 2023-09-20 15:44:15.556
13.0, -558.8981291782111, -690.2415456720628, -16.672474002465606, -29.601308149285614, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555564227E9, 0.0, 2023-09-20 15:44:15.556
14.0, -366.27084206044674, -802.9733500364237, 11.047664469107985, 5.336837236769497, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235455570002E9, 0.0, 2023-09-20 15:44:15.570
14.0, -269.1400303612463, -580.090272277128, 24.18967291340232, 26.9384993808344, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235455570002E9, 0.0, 2023-09-20 15:44:15.570
15.0, -460.8996606892906, -351.4066096865572, 5.183501338586211, -1.5819776812568307, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235455585784E9, 0.0, 2023-09-20 15:44:15.585
15.0, -592.8489409759641, -564.1844777655788, -15.490665616467595, -28.6064947610721, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235455585784E9, 0.0, 2023-09-20 15:44:15.585
16.0, -396.5116731021553, -645.0298951077275, 7.8687495067715645, 2.535652169957757, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555864267E9, 0.0, 2023-09-20 15:44:15.586
16.0, -280.1241165311076, -595.7754126912914, 28.804709458723664, 32.21175831835717, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354555864267E9, 0.0, 2023-09-20 15:44:15.586
17.0, -439.88142293831334, -548.3796605528332, 2.0345055758953094, -2.131742974743247, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556001189E9, 0.0, 2023-09-20 15:44:15.600
17.0, -559.2758590737358, -657.0574133652262, -17.446633293293417, -28.819669058546424, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556001189E9, 0.0, 2023-09-20 15:44:15.600
18.0, -422.687232892029, -671.1156972986646, 4.9703270411118865, 2.7151673678308725, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556158805E9, 0.0, 2023-09-20 15:44:15.615
18.0, -284.2941049817018, -477.4000992937945, 24.795536706224084, 33.34120810497552, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556158805E9, 0.0, 2023-09-20 15:44:15.615
19.0, -450.7420924096368, -474.71485112560913, 2.5094728702679276, -0.9499345887452364, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556165943E9, 0.0, 2023-09-20 15:44:15.616
19.0, -558.1800683867186, -602.0509648169391, -17.547610592097044, -32.93729890976101, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556165943E9, 0.0, 2023-09-20 15:44:15.616
20.0, -369.41609792318195, -782.0261703846045, 12.610942650586367, 3.508026158437133, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556300063E9, 0.0, 2023-09-20 15:44:15.630
20.0, -268.7398610659875, -975.6800600402057, 21.27629084791988, 28.91690645739436, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556300063E9, 0.0, 2023-09-20 15:44:15.630
21.0, -486.85456638177857, -923.538374857977, 2.9246017653495073, 0.4749672943726182, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556457489E9, 0.0, 2023-09-20 15:44:15.645
21.0, -604.4575904384255, -1074.8360275654122, -15.423347417265177, -33.191612106747925, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556457489E9, 0.0, 2023-09-20 15:44:15.645
22.0, -426.9469789415598, -1058.9938113531098, 7.457360511645675, 0.5572450933977962, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556464128E9, 0.0, 2023-09-20 15:44:15.646
22.0, -305.7461711275391, -954.2279938943684, 28.400800263509154, 29.85188144631684, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556464128E9, 0.0, 2023-09-20 15:44:15.646
23.0, -460.2414382970892, -1076.8742730412632, 4.674874944612384, -1.1780684860423207, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556599984E9, 0.0, 2023-09-20 15:44:15.659
23.0, -576.4307801704854, -1281.9703866112977, -13.729172737337649, -40.420838721096516, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556599984E9, 0.0, 2023-09-20 15:44:15.659
24.0, -439.93939138762653, -1151.5750347562134, 10.329603677615523, -0.7704193908721209, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235455675778E9, 0.0, 2023-09-20 15:44:15.675
24.0, -297.0097648310475, -1024.642830260098, 25.162046901881695, 28.786009958945215, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235455675778E9, 0.0, 2023-09-20 15:44:15.675
25.0, -477.164485596586, -998.8001215662807, 3.3210311606526375, -2.9133820654824376, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556766336E9, 0.0, 2023-09-20 15:44:15.676
25.0, -589.9205993106589, -1175.6113717714325, -15.169034220278263, -32.810142311267555, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556766336E9, 0.0, 2023-09-20 15:44:15.676
26.0, -406.42988778464496, -1082.8431533705443, 7.3040246134623885, -3.1602154625579715, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556901195E9, 0.0, 2023-09-20 15:44:15.690
26.0, -317.37352008977905, -976.955365925096, 25.865148093551397, 27.514443974010646, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354556901195E9, 0.0, 2023-09-20 15:44:15.690
27.0, -505.42316966177896, -915.8117415495217, 6.533605222590268, -2.8834628658369184, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354557059815E9, 0.0, 2023-09-20 15:44:15.705
27.0, -618.9048239672557, -1134.0536034638062, -17.33817619457841, -35.32335508149117, 0.1600000075995922, -0.01600000075995922, 0.9760000463575125, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952354557059815E9, 0.0, 2023-09-20 15:44:15.705
